bw_khz,sf,payload_bytes,toa_ms
250,7,0,12.928
250,7,1,12.928
250,7,2,15.488
250,7,3,15.488
250,7,4,15.488
250,7,5,15.488
250,7,6,18.048
250,7,7,18.048
250,7,8,18.048
250,7,9,20.608
250,7,10,20.608
250,7,11,20.608
250,7,12,20.608
250,7,13,23.168
250,7,14,23.168
250,7,15,23.168
250,7,16,25.728
250,7,17,25.728
250,7,18,25.728
250,7,19,25.728
250,7,20,28.288
250,7,21,28.288
250,7,22,28.288
250,7,23,30.848
250,7,24,30.848
250,7,25,30.848
250,7,26,30.848
250,7,27,33.408
250,7,28,33.408
250,7,29,33.408
250,7,30,35.968
250,7,31,35.968
250,7,32,35.968
250,7,33,35.968
250,7,34,38.528
250,7,35,38.528
250,7,36,38.528
250,7,37,41.088
250,7,38,41.088
250,7,39,41.088
250,7,40,41.088
250,7,41,43.648
250,7,42,43.648
250,7,43,43.648
250,7,44,46.208
250,7,45,46.208
250,7,46,46.208
250,7,47,46.208
250,7,48,48.768
250,7,49,48.768
250,7,50,48.768
250,7,51,51.328
250,7,52,51.328
250,7,53,51.328
250,7,54,51.328
250,7,55,53.888
250,7,56,53.888
250,7,57,53.888
250,7,58,56.448
250,7,59,56.448
250,7,60,56.448
250,7,61,56.448
250,7,62,59.008
250,7,63,59.008
250,7,64,59.008
250,7,65,61.568
250,7,66,61.568
250,7,67,61.568
250,7,68,61.568
250,7,69,64.128
250,7,70,64.128
250,7,71,64.128
250,7,72,66.688
250,7,73,66.688
250,7,74,66.688
250,7,75,66.688
250,7,76,69.248
250,7,77,69.248
250,7,78,69.248
250,7,79,71.808
250,7,80,71.808
250,7,81,71.808
250,7,82,71.808
250,7,83,74.368
250,7,84,74.368
250,7,85,74.368
250,7,86,76.928
250,7,87,76.928
250,7,88,76.928
250,7,89,76.928
250,7,90,79.488
250,7,91,79.488
250,7,92,79.488
250,7,93,82.048
250,7,94,82.048
250,7,95,82.048
250,7,96,82.048
250,7,97,84.608
250,7,98,84.608
250,7,99,84.608
250,7,100,87.168
250,7,101,87.168
250,7,102,87.168
250,7,103,87.168
250,7,104,89.728
250,7,105,89.728
250,7,106,89.728
250,7,107,92.288
250,7,108,92.288
250,7,109,92.288
250,7,110,92.288
250,7,111,94.848
250,7,112,94.848
250,7,113,94.848
250,7,114,97.408
250,7,115,97.408
250,7,116,97.408
250,7,117,97.408
250,7,118,99.968
250,7,119,99.968
250,7,120,99.968
250,7,121,102.528
250,7,122,102.528
250,7,123,102.528
250,7,124,102.528
250,7,125,105.088
250,7,126,105.088
250,7,127,105.088
250,7,128,107.648
250,8,0,25.856
250,8,1,25.856
250,8,2,25.856
250,8,3,30.976
250,8,4,30.976
250,8,5,30.976
250,8,6,30.976
250,8,7,36.096
250,8,8,36.096
250,8,9,36.096
250,8,10,36.096
250,8,11,41.216
250,8,12,41.216
250,8,13,41.216
250,8,14,41.216
250,8,15,46.336
250,8,16,46.336
250,8,17,46.336
250,8,18,46.336
250,8,19,51.456
250,8,20,51.456
250,8,21,51.456
250,8,22,51.456
250,8,23,56.576
250,8,24,56.576
250,8,25,56.576
250,8,26,56.576
250,8,27,61.696
250,8,28,61.696
250,8,29,61.696
